bird_name,item_taxon,diet_percentage
Greater Scaup,Mytiloida,1.4700000000000002
Greater Scaup,Neotaenioglossa,15.435
Greater Scaup,Ulvales [sea lettuces and allies],3.085714285714286
Greater Scaup,Unid. Animalia,17.57857142857143
Greater Scaup,Unid. Arthropoda,1.7492857142857143
Greater Scaup,Unid. Bivalvia,1.8942857142857144
Greater Scaup,Unid. Gastropoda,7.221428571428571
Greater Scaup,Unid. Mollusca,1.87
Greater Scaup,Unid. Plantae,4.508571428571428
Greater Scaup,Unid. Tracheophyta,19.486428571428576
Greater Scaup,Veneroida,9.167857142857144
Lesser Scaup,Alismatales [water plantains and allies],1.7627272727272727
Lesser Scaup,Amphipoda [amphipods],11.127272727272729
Lesser Scaup,Basommatophora,4.749090909090909
Lesser Scaup,Diptera [flies],8.664545454545454
Lesser Scaup,Diptera larva [flies],1.2999999999999998
Lesser Scaup,Heterostropha,1.001818181818182
Lesser Scaup,Odonata larva [dragonflies and damselflies],6.2727272727272725
Lesser Scaup,"Poales [grasses, sedges, and allies]",4.000909090909091
Lesser Scaup,Trichoptera [caddisflies],2.037272727272727
Lesser Scaup,Unid. Animalia,14.909090909090908
Lesser Scaup,Unid. Clitellata,1.8454545454545452
Lesser Scaup,Unid. Gastropoda,1.9809090909090907
Lesser Scaup,Unid. Insecta,2.4545454545454546
Lesser Scaup,Unid. Ostracoda,1.62
Lesser Scaup,Unid. Tracheophyta,23.40909090909091
Lesser Scaup,Unionoida [freshwater mussels],1.272727272727273
Lesser Scaup,Veneroida,5.581818181818182
Harlequin Duck,Amphipoda [amphipods],3.9457142857142857
Harlequin Duck,Archaeogastropoda,4.7
Harlequin Duck,Chitonida,11.421428571428567
Harlequin Duck,Decapoda [decapods],14.19285714285714
Harlequin Duck,Diptera larva [flies],1.96
Harlequin Duck,Isopoda [isopods],1.0071428571428571
Harlequin Duck,Mytiloida,3.7471428571428578
Harlequin Duck,Neotaenioglossa,11.654285714285717
Harlequin Duck,Patellogastropoda [true limpets],4.245714285714286
Harlequin Duck,Ulvales [sea lettuces and allies],5.128571428571428
Harlequin Duck,Unid. Animalia,5.171428571428571
Harlequin Duck,Unid. Bivalvia,1.3842857142857146
Harlequin Duck,Unid. Chordata,3.128571428571429
Harlequin Duck,Unid. Gastropoda,9.82
Harlequin Duck,Unid. Non-biological,3.128571428571429
Harlequin Duck,Unid. Teleostei egg,9.242857142857144
Surf Scoter,Clupeiformes egg [herrings],1.5222222222222224
Surf Scoter,Mytiloida,25.041111111111107
Surf Scoter,Sessilia [sessile barnacles],1.482222222222222
Surf Scoter,Unid. Animalia,41.336666666666666
Surf Scoter,Unid. Arthropoda,1.182222222222222
Surf Scoter,Unid. Mollusca,4.311111111111112
Surf Scoter,Unid. Tracheophyta,8.028888888888888
Surf Scoter,Veneroida,11.815555555555555
White-winged Scoter,Amphipoda [amphipods],23.7025
White-winged Scoter,Sessilia [sessile barnacles],2.14125
White-winged Scoter,Unid. Animalia,46.55125
White-winged Scoter,Unid. Bivalvia,16.90875
White-winged Scoter,Unid. Gastropoda,2.73625
White-winged Scoter,Unid. Tracheophyta,5.47
Black Scoter,Unid. Animalia,94
Black Scoter,Unid. Tracheophyta,6
Long-tailed Duck,Amphipoda [amphipods],22.29125
Long-tailed Duck,Decapoda [decapods],6.1825
Long-tailed Duck,Isopoda [isopods],5.50875
Long-tailed Duck,Mysida [opossum shrimps],18.703750000000003
Long-tailed Duck,Unid. Animalia,12.5
Long-tailed Duck,Unid. Bivalvia,17.9925
Long-tailed Duck,Unid. Chordata,3.875000000000001
Long-tailed Duck,Unid. Gastropoda,12.945
Bufflehead,Amphipoda [amphipods],1.906923076923077
Bufflehead,Coleoptera [beetles],1.6807692307692308
Bufflehead,Decapoda [decapods],9.503076923076923
Bufflehead,Diptera [flies],3.954615384615384
Bufflehead,Ephemeroptera [mayflies],1.496923076923077
Bufflehead,"Hemiptera [true bugs, hoppers, aphids, and allies]",5.5200000000000005
Bufflehead,Isopoda [isopods],1.6346153846153846
Bufflehead,Odonata [dragonflies and damselflies],2.7323076923076925
Bufflehead,Trichoptera [caddisflies],1.9423076923076923
Bufflehead,Unid. Animalia,26.502307692307696
Bufflehead,Unid. Arthropoda,2.602307692307692
Bufflehead,Unid. Bivalvia,9.06076923076923
Bufflehead,Unid. Chordata,2.620769230769231
Bufflehead,Unid. Gastropoda,5.993076923076923
Bufflehead,Unid. Insecta,4.348461538461539
Bufflehead,Unid. Magnoliopsida,9.77
Bufflehead,Unid. Tracheophyta,8.344615384615384
Common Goldeneye,Decapoda [decapods],8.228
Common Goldeneye,Diptera larva [flies],2.759333333333333
Common Goldeneye,Mytiloida,2.2220000000000004
Common Goldeneye,"Salmoniformes [salmons, trouts, and whitefishes]",1.7573333333333332
Common Goldeneye,"Salmoniformes egg [salmons, trouts, and whitefishes]",5.701333333333333
Common Goldeneye,Scorpaeniformes [mail-cheeked fishes],3.770666666666668
Common Goldeneye,Trichoptera larva [caddisflies],11.947333333333331
Common Goldeneye,Unid. Animalia,22.532666666666668
Common Goldeneye,Unid. Arthropoda,6.160666666666667
Common Goldeneye,Unid. Gastropoda,1.422
Common Goldeneye,Unid. Insecta,2.4320000000000004
Common Goldeneye,Unid. Insecta larva,4.629333333333333
Common Goldeneye,Unid. Malacostraca,4
Common Goldeneye,Unid. Mollusca,4.418666666666667
Common Goldeneye,Unid. Tracheophyta,14.288000000000002
Barrow's Goldeneye,Amphipoda [amphipods],8.249565217391305
Barrow's Goldeneye,Decapoda [decapods],1.576521739130435
Barrow's Goldeneye,Diptera [flies],1.899565217391304
Barrow's Goldeneye,"Hemiptera [true bugs, hoppers, aphids, and allies]",7.290869565217391
