name,birdweb_society_link,ecoregion,jan_abundance,feb_abundance,mar_abundance,apr_abundance,may_abundance,jun_abundance,jul_abundance,aug_abundance,sep_abundance,oct_abundance,nov_abundance,dec_abundance
Cinnamon Teal,http://becomewww.birdweb.org/BIRDWEB/bird/cinnamon_teal,blue_mountains,,,,,U,U,U,U,R,,,
Northern Shoveler,http://becomewww.birdweb.org/BIRDWEB/bird/northern_shoveler,blue_mountains,,,,U,U,R,,U,R,,,
Northern Pintail,http://becomewww.birdweb.org/BIRDWEB/bird/northern_pintail,blue_mountains,,,,R,R,,,,R,R,,
Green-winged Teal,http://becomewww.birdweb.org/BIRDWEB/bird/green-winged_teal,blue_mountains,,,R,U,U,R,R,U,U,U,,
Canvasback,http://becomewww.birdweb.org/BIRDWEB/bird/canvasback,blue_mountains,,,,R,,,,,R,R,,
Redhead,http://becomewww.birdweb.org/BIRDWEB/bird/redhead,blue_mountains,,,,R,R,,,,R,R,R,
Ring-necked Duck,http://becomewww.birdweb.org/BIRDWEB/bird/ring-necked_duck,blue_mountains,,,,R,U,,,,U,U,,
Lesser Scaup,http://becomewww.birdweb.org/BIRDWEB/bird/lesser_scaup,blue_mountains,,,,R,,,,,,R,,
Bufflehead,http://becomewww.birdweb.org/BIRDWEB/bird/bufflehead,blue_mountains,,,,R,R,,,,R,R,,
Common Goldeneye,http://becomewww.birdweb.org/BIRDWEB/bird/common_goldeneye,blue_mountains,,,,R,,,,,,R,R,R
Barrow's Goldeneye,http://becomewww.birdweb.org/BIRDWEB/bird/barrows_goldeneye,blue_mountains,R,R,R,,,,,,,,R,R
Hooded Merganser,http://becomewww.birdweb.org/BIRDWEB/bird/hooded_merganser,blue_mountains,,,,R,R,,,,,,R,
Common Merganser,http://becomewww.birdweb.org/BIRDWEB/bird/common_merganser,blue_mountains,R,R,U,U,U,U,U,U,U,U,U,R
Chukar,http://becomewww.birdweb.org/BIRDWEB/bird/chukar,blue_mountains,F,F,F,F,F,F,F,F,F,F,F,F
Gray Partridge,http://becomewww.birdweb.org/BIRDWEB/bird/gray_partridge,blue_mountains,U,U,U,U,U,U,U,U,U,U,U,U
Ring-necked Pheasant,http://becomewww.birdweb.org/BIRDWEB/bird/ring-necked_pheasant,blue_mountains,R,R,R,R,R,R,R,R,R,R,R,R
Ruffed Grouse,http://becomewww.birdweb.org/BIRDWEB/bird/ruffed_grouse,blue_mountains,F,F,F,F,F,F,F,F,F,F,F,F
Dusky Grouse,http://becomewww.birdweb.org/BIRDWEB/bird/dusky_grouse,blue_mountains,F,F,F,F,F,F,F,F,F,F,F,F
Wild Turkey,http://becomewww.birdweb.org/BIRDWEB/bird/wild_turkey,blue_mountains,C,C,C,C,C,C,C,C,C,C,C,C
Mountain Quail,http://becomewww.birdweb.org/BIRDWEB/bird/mountain_quail,blue_mountains,R,R,R,R,R,R,R,R,R,R,R,R
California Quail,http://becomewww.birdweb.org/BIRDWEB/bird/california_quail,blue_mountains,U,U,U,U,U,U,U,U,U,U,U,U
Pied-billed Grebe,http://becomewww.birdweb.org/BIRDWEB/bird/pied-billed_grebe,blue_mountains,,,U,U,U,U,U,U,R,R,,
Horned Grebe,http://becomewww.birdweb.org/BIRDWEB/bird/horned_grebe,blue_mountains,,,R,R,,,,,,R,R,
Double-crested Cormorant,http://becomewww.birdweb.org/BIRDWEB/bird/double-crested_cormorant,blue_mountains,,,,,R,R,R,R,R,R,,
Great Blue Heron,http://becomewww.birdweb.org/BIRDWEB/bird/great_blue_heron,blue_mountains,,R,F,F,F,F,F,F,F,U,R,R
Turkey Vulture,http://becomewww.birdweb.org/BIRDWEB/bird/turkey_vulture,blue_mountains,,,R,R,R,R,R,R,U,U,,
Osprey,http://becomewww.birdweb.org/BIRDWEB/bird/osprey,blue_mountains,,,,U,U,U,U,U,U,,,
Bald Eagle,http://becomewww.birdweb.org/BIRDWEB/bird/bald_eagle,blue_mountains,U,U,U,R,,,,,,R,U,U
Northern Harrier,http://becomewww.birdweb.org/BIRDWEB/bird/northern_harrier,blue_mountains,U,U,U,U,U,U,U,U,U,U,U,U
Sharp-shinned Hawk,http://becomewww.birdweb.org/BIRDWEB/bird/sharp-shinned_hawk,blue_mountains,R,R,U,U,U,U,U,U,U,U,R,R
Cooper's Hawk,http://becomewww.birdweb.org/BIRDWEB/bird/coopers_hawk,blue_mountains,R,R,R,U,U,U,U,U,U,U,R,R
Northern Goshawk,http://becomewww.birdweb.org/BIRDWEB/bird/northern_goshawk,blue_mountains,U,U,U,U,U,U,U,U,U,U,U,U
Swainson's Hawk,http://becomewww.birdweb.org/BIRDWEB/bird/swainsons_hawk,blue_mountains,,,,,,,,,R,,,
Red-tailed Hawk,http://becomewww.birdweb.org/BIRDWEB/bird/red-tailed_hawk,blue_mountains,F,F,C,C,F,F,F,F,C,C,C,F
Ferruginous Hawk,http://becomewww.birdweb.org/BIRDWEB/bird/ferruginous_hawk,blue_mountains,,,R,R,R,R,R,R,,,,
Rough-legged Hawk,http://becomewww.birdweb.org/BIRDWEB/bird/rough-legged_hawk,blue_mountains,U,U,R,,,,,,,,U,U
Golden Eagle,http://becomewww.birdweb.org/BIRDWEB/bird/golden_eagle,blue_mountains,U,U,U,U,U,U,U,U,U,U,U,U
American Kestrel,http://becomewww.birdweb.org/BIRDWEB/bird/american_kestrel,blue_mountains,U,U,F,F,F,F,F,F,F,F,U,U
Merlin,http://becomewww.birdweb.org/BIRDWEB/bird/merlin,blue_mountains,R,R,,,,,,,,R,R,R
Peregrine Falcon,http://becomewww.birdweb.org/BIRDWEB/bird/peregrine_falcon,blue_mountains,,,R,R,R,R,R,R,R,R,,
Prairie Falcon,http://becomewww.birdweb.org/BIRDWEB/bird/prairie_falcon,blue_mountains,,R,R,R,R,R,R,R,R,R,R,
Virginia Rail,http://becomewww.birdweb.org/BIRDWEB/bird/virginia_rail,blue_mountains,,,R,U,U,U,U,U,R,R,,
Sora,http://becomewww.birdweb.org/BIRDWEB/bird/sora,blue_mountains,,,,,R,R,R,R,,,,
American Coot,http://becomewww.birdweb.org/BIRDWEB/bird/american_coot,blue_mountains,,,U,U,R,,,R,U,,,
Sandhill Crane,http://becomewww.birdweb.org/BIRDWEB/bird/sandhill_crane,blue_mountains,,,,R,,,,,R,,,
Killdeer,http://becomewww.birdweb.org/BIRDWEB/bird/killdeer,blue_mountains,,,,R,R,R,R,R,,,,
Black-necked Stilt,http://becomewww.birdweb.org/BIRDWEB/bird/black-necked_stilt,blue_mountains,,,,,,,,R,,,,
American Avocet,http://becomewww.birdweb.org/BIRDWEB/bird/american_avocet,blue_mountains,,,,R,,,R,R,,,,
Spotted Sandpiper,http://becomewww.birdweb.org/BIRDWEB/bird/spotted_sandpiper,blue_mountains,,,,,U,U,U,U,R,,,
Solitary Sandpiper,http://becomewww.birdweb.org/BIRDWEB/bird/solitary_sandpiper,blue_mountains,,,,,,,,R,,,,
Greater Yellowlegs,http://becomewww.birdweb.org/BIRDWEB/bird/greater_yellowlegs,blue_mountains,,,,,,,,R,R,,,
Wilson's Snipe,http://becomewww.birdweb.org/BIRDWEB/bird/wilsons_snipe,blue_mountains,,,,,R,R,R,R,R,,,
Wilson's Phalarope,http://becomewww.birdweb.org/BIRDWEB/bird/wilsons_phalarope,blue_mountains,,,,,R,,,R,,,,
Bonaparte's Gull,http://becomewww.birdweb.org/BIRDWEB/bird/bonapartes_gull,blue_mountains,,,,,,,,,R,R,,
Ring-billed Gull,http://becomewww.birdweb.org/BIRDWEB/bird/ring-billed_gull,blue_mountains,,,,R,R,R,R,R,,,,
California Gull,http://becomewww.birdweb.org/BIRDWEB/bird/california_gull,blue_mountains,,,,,R,R,R,R,,,,
Caspian Tern,http://becomewww.birdweb.org/BIRDWEB/bird/caspian_tern,blue_mountains,,,,,,R,R,,,,,
Rock Pigeon,http://becomewww.birdweb.org/BIRDWEB/bird/rock_pigeon,blue_mountains,U,U,U,U,U,U,U,U,U,U,U,U
Mourning Dove,http://becomewww.birdweb.org/BIRDWEB/bird/mourning_dove,blue_mountains,R,R,R,U,U,F,F,F,F,U,R,R
Barn Owl,http://becomewww.birdweb.org/BIRDWEB/bird/barn_owl,blue_mountains,R,R,R,R,R,R,R,R,R,R,R,R
Flammulated Owl,http://becomewww.birdweb.org/BIRDWEB/bird/flammulated_owl,blue_mountains,,,,,U,U,U,U,U,,,
Western Screech-Owl,http://becomewww.birdweb.org/BIRDWEB/bird/western_screech-owl,blue_mountains,U,U,U,U,U,U,U,U,U,U,U,U
Great Horned Owl,http://becomewww.birdweb.org/BIRDWEB/bird/great_horned_owl,blue_mountains,F,F,F,F,F,F,F,F,F,F,F,F
Snowy Owl,http://becomewww.birdweb.org/BIRDWEB/bird/snowy_owl,blue_mountains,I,I,,,,,,,,,,I
Northern Pygmy-Owl,http://becomewww.birdweb.org/BIRDWEB/bird/northern_pygmy-owl,blue_mountains,U,U,U,U,U,U,U,U,U,U,U,U
Barred Owl,http://becomewww.birdweb.org/BIRDWEB/bird/barred_owl,blue_mountains,U,U,U,U,U,U,U,U,U,U,U,U
Great Gray Owl,http://becomewww.birdweb.org/BIRDWEB/bird/great_gray_owl,blue_mountains,R,R,R,R,R,R,R,R,R,R,R,R
Long-eared Owl,http://becomewww.birdweb.org/BIRDWEB/bird/long-eared_owl,blue_mountains,U,U,U,U,U,U,U,U,U,U,U,U
Short-eared Owl,http://becomewww.birdweb.org/BIRDWEB/bird/short-eared_owl,blue_mountains,R,R,R,,,,,,,,R,R
Boreal Owl,http://becomewww.birdweb.org/BIRDWEB/bird/boreal_owl,blue_mountains,R,R,R,R,R,R,R,R,R,R,R,R
Northern Saw-whet Owl,http://becomewww.birdweb.org/BIRDWEB/bird/northern_saw-whet_owl,blue_mountains,F,F,F,F,F,F,F,F,F,F,F,F
Common Nighthawk,http://becomewww.birdweb.org/BIRDWEB/bird/common_nighthawk,blue_mountains,,,,,R,F,F,F,U,,,
Common Poorwill,http://becomewww.birdweb.org/BIRDWEB/bird/common_poorwill,blue_mountains,,,,R,U,U,U,U,R,,,
Vaux's Swift,http://becomewww.birdweb.org/BIRDWEB/bird/vauxs_swift,blue_mountains,,,,U,F,F,F,F,U,,,
White-throated Swift,http://becomewww.birdweb.org/BIRDWEB/bird/white-throated_swift,blue_mountains,,,R,U,U,U,U,U,,,,
Black-chinned Hummingbird,http://becomewww.birdweb.org/BIRDWEB/bird/black-chinned_hummingbird,blue_mountains,,,,,F,F,F,F,R,,,
Calliope Hummingbird,http://becomewww.birdweb.org/BIRDWEB/bird/calliope_hummingbird,blue_mountains,,,,R,F,F,F,F,R,,,
Rufous Hummingbird,http://becomewww.birdweb.org/BIRDWEB/bird/rufous_hummingbird,blue_mountains,,,,U,F,F,F,F,R,,,
Belted Kingfisher,http://becomewww.birdweb.org/BIRDWEB/bird/belted_kingfisher,blue_mountains,R,R,R,U,U,U,U,U,U,U,U,U
Lewis's Woodpecker,http://becomewww.birdweb.org/BIRDWEB/bird/lewiss_woodpecker,blue_mountains,,,,,U,U,U,U,U,R,,
Williamson's Sapsucker,http://becomewww.birdweb.org/BIRDWEB/bird/williamsons_sapsucker,blue_mountains,,,R,F,F,F,F,F,F,U,,
Red-naped Sapsucker,http://becomewww.birdweb.org/BIRDWEB/bird/red-naped_sapsucker,blue_mountains,,,R,U,U,U,U,U,R,,,
Downy Woodpecker,http://becomewww.birdweb.org/BIRDWEB/bird/downy_woodpecker,blue_mountains,F,F,F,F,F,F,F,F,F,F,F,F
Hairy Woodpecker,http://becomewww.birdweb.org/BIRDWEB/bird/hairy_woodpecker,blue_mountains,F,F,F,F,F,F,F,F,F,F,F,F
White-headed Woodpecker,http://becomewww.birdweb.org/BIRDWEB/bird/white-headed_woodpecker,blue_mountains,R,R,R,R,R,R,R,R,R,R,R,R
American Three-toed Woodpecker,http://becomewww.birdweb.org/BIRDWEB/bird/american_three-toed_woodpecker,blue_mountains,R,R,R,R,R,R,R,R,R,R,R,R
Black-backed Woodpecker,http://becomewww.birdweb.org/BIRDWEB/bird/black-backed_woodpecker,blue_mountains,R,R,R,R,R,R,R,R,R,R,R,R
Northern Flicker,http://becomewww.birdweb.org/BIRDWEB/bird/northern_flicker,blue_mountains,U,U,U,C,C,C,C,C,C,C,C,U
Pileated Woodpecker,http://becomewww.birdweb.org/BIRDWEB/bird/pileated_woodpecker,blue_mountains,F,F,F,F,F,F,F,F,F,F,F,F
Olive-sided Flycatcher,http://becomewww.birdweb.org/BIRDWEB/bird/olive-sided_flycatcher,blue_mountains,,,,,U,U,U,U,R,,,
Western Wood-Pewee,http://becomewww.birdweb.org/BIRDWEB/bird/western_wood-pewee,blue_mountains,,,,,F,C,C,C,C,,,
Willow Flycatcher,http://becomewww.birdweb.org/BIRDWEB/bird/willow_flycatcher,blue_mountains,,,,,U,F,F,F,U,,,
Hammond's Flycatcher,http://becomewww.birdweb.org/BIRDWEB/bird/hammonds_flycatcher,blue_mountains,,,,R,F,F,F,U,U,,,
Gray Flycatcher,http://becomewww.birdweb.org/BIRDWEB/bird/gray_flycatcher,blue_mountains,,,,,R,R,R,R,,,,
Dusky Flycatcher,http://becomewww.birdweb.org/BIRDWEB/bird/dusky_flycatcher,blue_mountains,,,,R,C,C,C,C,U,,,
Pacific-slope Flycatcher,http://becomewww.birdweb.org/BIRDWEB/bird/pacific-slope_flycatcher,blue_mountains,,,,,F,F,F,F,U,,,
Say's Phoebe,http://becomewww.birdweb.org/BIRDWEB/bird/says_phoebe,blue_mountains,,,,R,U,U,U,U,U,,,
Western Kingbird,http://becomewww.birdweb.org/BIRDWEB/bird/western_kingbird,blue_mountains,,,,U,U,U,U,U,,,,
Eastern Kingbird,http://becomewww.birdweb.org/BIRDWEB/bird/eastern_kingbird,blue_mountains,,,,,U,U,U,U,,,,
Loggerhead Shrike,http://becomewww.birdweb.org/BIRDWEB/bird/loggerhead_shrike,blue_mountains,,,,,R,R,R,R,R,,,
Northern Shrike,http://becomewww.birdweb.org/BIRDWEB/bird/northern_shrike,blue_mountains,U,U,R,,,,,,,R,R,U
Cassin's Vireo,http://becomewww.birdweb.org/BIRDWEB/bird/cassins_vireo,blue_mountains,,,,,F,F,F,F,U,,,
Warbling Vireo,http://becomewww.birdweb.org/BIRDWEB/bird/warbling_vireo,blue_mountains,,,,R,F,F,F,F,U,,,
Red-eyed Vireo,http://becomewww.birdweb.org/BIRDWEB/bird/red-eyed_vireo,blue_mountains,,,,,F,F,F,F,R,,,
Gray Jay,http://becomewww.birdweb.org/BIRDWEB/bird/gray_jay,blue_mountains,F,F,F,F,F,F,F,F,F,F,F,F
Steller's Jay,http://becomewww.birdweb.org/BIRDWEB/bird/stellers_jay,blue_mountains,F,F,F,F,F,F,F,F,F,F,F,F
Blue Jay,http://becomewww.birdweb.org/BIRDWEB/bird/blue_jay,blue_mountains,,,,,,,,,I,I,,
Clark's Nutcracker,http://becomewww.birdweb.org/BIRDWEB/bird/clarks_nutcracker,blue_mountains,U,U,C,C,C,C,C,C,C,F,F,F
Black-billed Magpie,http://becomewww.birdweb.org/BIRDWEB/bird/black-billed_magpie,blue_mountains,F,F,F,F,F,F,F,F,F,F,F,F
American Crow,http://becomewww.birdweb.org/BIRDWEB/bird/american_crow,blue_mountains,R,R,R,R,R,R,R,R,R,R,R,R
Common Raven,http://becomewww.birdweb.org/BIRDWEB/bird/common_raven,blue_mountains,F,F,F,F,F,F,F,F,F,F,F,F
Horned Lark,http://becomewww.birdweb.org/BIRDWEB/bird/horned_lark,blue_mountains,U,U,U,R,R,,,,,R,U,U
Tree Swallow,http://becomewww.birdweb.org/BIRDWEB/bird/tree_swallow,blue_mountains,,,,U,U,U,U,U,R,,,
Violet-green Swallow,http://becomewww.birdweb.org/BIRDWEB/bird/violet-green_swallow,blue_mountains,,,R,U,U,U,U,U,U,,,
Northern Rough-winged Swallow,http://becomewww.birdweb.org/BIRDWEB/bird/northern_rough-winged_swallow,blue_mountains,,,,R,R,R,R,R,R,,,
Bank Swallow,http://becomewww.birdweb.org/BIRDWEB/bird/bank_swallow,blue_mountains,,,,,,R,R,R,R,,,
Cliff Swallow,http://becomewww.birdweb.org/BIRDWEB/bird/cliff_swallow,blue_mountains,,,,,R,U,U,U,R,,,
Barn Swallow,http://becomewww.birdweb.org/BIRDWEB/bird/barn_swallow,blue_mountains,,,,,R,U,U,U,U,U,,
Black-capped Chickadee,http://becomewww.birdweb.org/BIRDWEB/bird/black-capped_chickadee,blue_mountains,F,F,F,F,F,F,F,F,F,F,F,F
Mountain Chickadee,http://becomewww.birdweb.org/BIRDWEB/bird/mountain_chickadee,blue_mountains,C,C,C,C,C,C,C,C,C,C,C,C
Chestnut-backed Chickadee,http://becomewww.birdweb.org/BIRDWEB/bird/chestnut-backed_chickadee,blue_mountains,F,F,F,F,F,F,F,F,F,F,F,F
Red-breasted Nuthatch,http://becomewww.birdweb.org/BIRDWEB/bird/red-breasted_nuthatch,blue_mountains,C,C,C,C,C,C,C,C,C,C,C,C
White-breasted Nuthatch,http://becomewww.birdweb.org/BIRDWEB/bird/white-breasted_nuthatch,blue_mountains,F,F,F,F,F,F,F,F,F,F,F,F
Pygmy Nuthatch,http://becomewww.birdweb.org/BIRDWEB/bird/pygmy_nuthatch,blue_mountains,U,U,U,U,U,U,U,U,U,U,U,U
Brown Creeper,http://becomewww.birdweb.org/BIRDWEB/bird/brown_creeper,blue_mountains,F,F,F,F,F,F,F,F,F,F,F,F
Rock Wren,http://becomewww.birdweb.org/BIRDWEB/bird/rock_wren,blue_mountains,,,R,U,U,U,U,U,U,U,,
Canyon Wren,http://becomewww.birdweb.org/BIRDWEB/bird/canyon_wren,blue_mountains,R,R,U,U,U,U,U,U,U,U,U,R
Bewick's Wren,http://becomewww.birdweb.org/BIRDWEB/bird/bewicks_wren,blue_mountains,R,R,R,R,R,R,R,R,R,R,R,R
House Wren,http://becomewww.birdweb.org/BIRDWEB/bird/house_wren,blue_mountains,,,,R,U,F,F,F,F,,,
Pacific Wren,http://becomewww.birdweb.org/BIRDWEB/bird/pacific_wren,blue_mountains,U,U,U,F,F,F,F,F,F,F,U,U
Marsh Wren,http://becomewww.birdweb.org/BIRDWEB/bird/marsh_wren,blue_mountains,,,,R,R,U,U,U,U,U,,
American Dipper,http://becomewww.birdweb.org/BIRDWEB/bird/american_dipper,blue_mountains,U,U,U,U,U,U,U,U,U,U,U,U
Golden-crowned Kinglet,http://becomewww.birdweb.org/BIRDWEB/bird/golden-crowned_kinglet,blue_mountains,U,U,F,F,F,F,F,F,F,F,U,U
Ruby-crowned Kinglet,http://becomewww.birdweb.org/BIRDWEB/bird/ruby-crowned_kinglet,blue_mountains,R,R,U,C,C,C,C,C,U,U,R,R
Western Bluebird,http://becomewww.birdweb.org/BIRDWEB/bird/western_bluebird,blue_mountains,,,R,F,F,C,C,C,C,U,R,
Mountain Bluebird,http://becomewww.birdweb.org/BIRDWEB/bird/mountain_bluebird,blue_mountains,,,,U,F,C,C,C,C,U,R,
Townsend's Solitaire,http://becomewww.birdweb.org/BIRDWEB/bird/townsends_solitaire,blue_mountains,R,R,R,U,U,U,U,U,U,U,U,R
Veery,http://becomewww.birdweb.org/BIRDWEB/bird/veery,blue_mountains,,,,,,R,R,R,R,,,
Swainson's Thrush,http://becomewww.birdweb.org/BIRDWEB/bird/swainsons_thrush,blue_mountains,,,,,U,F,F,F,U,,,
Hermit Thrush,http://becomewww.birdweb.org/BIRDWEB/bird/hermit_thrush,blue_mountains,,,R,U,F,F,F,F,U,R,,
American Robin,http://becomewww.birdweb.org/BIRDWEB/bird/american_robin,blue_mountains,R,R,F,C,C,C,C,C,C,U,U,R
Varied Thrush,http://becomewww.birdweb.org/BIRDWEB/bird/varied_thrush,blue_mountains,R,R,R,U,U,U,U,U,U,U,R,R
Gray Catbird,http://becomewww.birdweb.org/BIRDWEB/bird/gray_catbird,blue_mountains,,,,,,U,U,U,U,,,
European Starling,http://becomewww.birdweb.org/BIRDWEB/bird/european_starling,blue_mountains,,,,R,R,R,R,R,R,R,,
American Pipit,http://becomewww.birdweb.org/BIRDWEB/bird/american_pipit,blue_mountains,,,,,U,,,,U,R,,
Bohemian Waxwing,http://becomewww.birdweb.org/BIRDWEB/bird/bohemian_waxwing,blue_mountains,R,R,,,,,,,,,R,R
Cedar Waxwing,http://becomewww.birdweb.org/BIRDWEB/bird/cedar_waxwing,blue_mountains,R,R,R,U,F,F,F,F,F,U,U,R
Orange-crowned Warbler,http://becomewww.birdweb.org/BIRDWEB/bird/orange-crowned_warbler,blue_mountains,,,,R,F,F,F,F,F,,,
Nashville Warbler,http://becomewww.birdweb.org/BIRDWEB/bird/nashville_warbler,blue_mountains,,,,R,U,U,U,U,R,,,
Yellow Warbler,http://becomewww.birdweb.org/BIRDWEB/bird/yellow_warbler,blue_mountains,,,,,U,F,F,F,U,,,
Yellow-rumped Warbler,http://becomewww.birdweb.org/BIRDWEB/bird/yellow-rumped_warbler,blue_mountains,,,,R,F,F,F,F,F,F,U,
Townsend's Warbler,http://becomewww.birdweb.org/BIRDWEB/bird/townsends_warbler,blue_mountains,,,,,C,C,C,C,U,,,
MacGillivray's Warbler,http://becomewww.birdweb.org/BIRDWEB/bird/macgillivrays_warbler,blue_mountains,,,,,F,C,C,C,C,,,
Common Yellowthroat,http://becomewww.birdweb.org/BIRDWEB/bird/common_yellowthroat,blue_mountains,,,,,,,,,R,,,
Wilson's Warbler,http://becomewww.birdweb.org/BIRDWEB/bird/wilsons_warbler,blue_mountains,,,,,U,F,F,F,F,U,,
Yellow-breasted Chat,http://becomewww.birdweb.org/BIRDWEB/bird/yellow-breasted_chat,blue_mountains,,,,,F,F,F,F,U,,,
Western Tanager,http://becomewww.birdweb.org/BIRDWEB/bird/western_tanager,blue_mountains,,,,,F,C,C,C,C,,,
Green-tailed Towhee,http://becomewww.birdweb.org/BIRDWEB/bird/green-tailed_towhee,blue_mountains,,,,,,R,R,R,R,,,
Spotted Towhee,http://becomewww.birdweb.org/BIRDWEB/bird/spotted_towhee,blue_mountains,,,R,U,C,C,C,C,C,U,,
American Tree Sparrow,http://becomewww.birdweb.org/BIRDWEB/bird/american_tree_sparrow,blue_mountains,R,R,,,,,,,,,,R
Chipping Sparrow,http://becomewww.birdweb.org/BIRDWEB/bird/chipping_sparrow,blue_mountains,,,,R,F,C,C,C,C,R,,
Brewer's Sparrow,http://becomewww.birdweb.org/BIRDWEB/bird/brewers_sparrow,blue_mountains,,,,,,,,R,R,,,
Vesper Sparrow,http://becomewww.birdweb.org/BIRDWEB/bird/vesper_sparrow,blue_mountains,,,,R,F,F,F,F,F,,,
Lark Sparrow,http://becomewww.birdweb.org/BIRDWEB/bird/lark_sparrow,blue_mountains,,,,,,,,U,U,,,
Savannah Sparrow,http://becomewww.birdweb.org/BIRDWEB/bird/savannah_sparrow,blue_mountains,,,,R,F,F,F,F,F,,,
Grasshopper Sparrow,http://becomewww.birdweb.org/BIRDWEB/bird/grasshopper_sparrow,blue_mountains,,,,,R,R,R,R,,,,
Fox Sparrow,http://becomewww.birdweb.org/BIRDWEB/bird/fox_sparrow,blue_mountains,,,,R,F,F,F,F,U,R,,
Song Sparrow,http://becomewww.birdweb.org/BIRDWEB/bird/song_sparrow,blue_mountains,F,F,F,F,C,C,C,C,C,C,C,F
Lincoln's Sparrow,http://becomewww.birdweb.org/BIRDWEB/bird/lincolns_sparrow,blue_mountains,,,,U,F,F,F,F,F,U,R,
White-throated Sparrow,http://becomewww.birdweb.org/BIRDWEB/bird/white-throated_sparrow,blue_mountains,,,,,,,,,,R,R,
Harris's Sparrow,http://becomewww.birdweb.org/BIRDWEB/bird/harriss_sparrow,blue_mountains,,,,,,,,,,,R,
White-crowned Sparrow,http://becomewww.birdweb.org/BIRDWEB/bird/white-crowned_sparrow,blue_mountains,U,U,U,F,U,U,U,U,F,U,U,U
Golden-crowned Sparrow,http://becomewww.birdweb.org/BIRDWEB/bird/golden-crowned_sparrow,blue_mountains,,,,,,,,,R,,,
Dark-eyed Junco,http://becomewww.birdweb.org/BIRDWEB/bird/dark-eyed_junco,blue_mountains,F,F,F,F,F,C,C,C,C,C,C,C
Black-headed Grosbeak,http://becomewww.birdweb.org/BIRDWEB/bird/black-headed_grosbeak,blue_mountains,,,,,F,F,F,F,F,,,
Lazuli Bunting,http://becomewww.birdweb.org/BIRDWEB/bird/lazuli_bunting,blue_mountains,,,,,F,F,F,F,U,,,
Red-winged Blackbird,http://becomewww.birdweb.org/BIRDWEB/bird/red-winged_blackbird,blue_mountains,R,R,R,U,F,F,F,F,F,F,U,R
Western Meadowlark,http://becomewww.birdweb.org/BIRDWEB/bird/western_meadowlark,blue_mountains,,,,U,U,U,U,U,U,U,U,
Yellow-headed Blackbird,http://becomewww.birdweb.org/BIRDWEB/bird/yellow-headed_blackbird,blue_mountains,,,,,,R,R,R,,,,
Brewer's Blackbird,http://becomewww.birdweb.org/BIRDWEB/bird/brewers_blackbird,blue_mountains,,,R,U,F,F,F,F,U,,,
Brown-headed Cowbird,http://becomewww.birdweb.org/BIRDWEB/bird/brown-headed_cowbird,blue_mountains,,,,R,F,C,C,C,C,U,R,
Bullock's Oriole,http://becomewww.birdweb.org/BIRDWEB/bird/bullocks_oriole,blue_mountains,,,,,U,U,U,R,,,,
Gray-crowned Rosy-Finch,http://becomewww.birdweb.org/BIRDWEB/bird/gray-crowned_rosy-finch,blue_mountains,,,,,,,,,,R,R,R
Pine Grosbeak,http://becomewww.birdweb.org/BIRDWEB/bird/pine_grosbeak,blue_mountains,R,,,,,,,,,,R,R
Cassin's Finch,http://becomewww.birdweb.org/BIRDWEB/bird/cassins_finch,blue_mountains,U,U,U,U,F,F,F,F,F,F,U,U
House Finch,http://becomewww.birdweb.org/BIRDWEB/bird/house_finch,blue_mountains,U,U,U,U,U,U,U,U,U,U,U,U
Red Crossbill,http://becomewww.birdweb.org/BIRDWEB/bird/red_crossbill,blue_mountains,F,F,F,F,F,F,F,F,F,F,F,F
White-winged Crossbill,http://becomewww.birdweb.org/BIRDWEB/bird/white-winged_crossbill,blue_mountains,,,,,,,I,I,I,I,I,I
Common Redpoll,http://becomewww.birdweb.org/BIRDWEB/bird/common_redpoll,blue_mountains,I,I,,,,,,,,,I,I
Pine Siskin,http://becomewww.birdweb.org/BIRDWEB/bird/pine_siskin,blue_mountains,U,U,U,F,F,F,F,F,F,F,F,U
American Goldfinch,http://becomewww.birdweb.org/BIRDWEB/bird/american_goldfinch,blue_mountains,R,R,R,U,U,U,U,U,U,U,R,R
Evening Grosbeak,http://becomewww.birdweb.org/BIRDWEB/bird/evening_grosbeak,blue_mountains,U,U,U,U,U,U,U,U,U,U,U,U
Greater White-fronted Goose,http://becomewww.birdweb.org/BIRDWEB/bird/greater_white-fronted_goose,columbia_plateau,U,F,F,F,R,,,R,F,F,U,U
Snow Goose,http://becomewww.birdweb.org/BIRDWEB/bird/snow_goose,columbia_plateau,F,F,F,U,,,,,,U,F,F
Ross's Goose,http://becomewww.birdweb.org/BIRDWEB/bird/rosss_goose,columbia_plateau,,,R,R,R,,,,,,,
Cackling Goose,http://becomewww.birdweb.org/BIRDWEB/bird/cackling_goose,columbia_plateau,F,F,F,U,,,,,,U,F,F
Canada Goose,http://becomewww.birdweb.org/BIRDWEB/bird/canada_goose,columbia_plateau,C,C,C,C,C,C,C,C,C,C,C,C
Trumpeter Swan,http://becomewww.birdweb.org/BIRDWEB/bird/trumpeter_swan,columbia_plateau,R,R,R,R,,,,,,R,R,R
Tundra Swan,http://becomewww.birdweb.org/BIRDWEB/bird/tundra_swan,columbia_plateau,U,F,F,R,,,,,,F,F,U
Wood Duck,http://becomewww.birdweb.org/BIRDWEB/bird/wood_duck,columbia_plateau,F,F,F,F,F,F,F,F,F,F,F,F
